,Lyrics,Genre,Region,History
बालशिवाजीचा पोवाडा,"ज्याची कीर्ति सार्‍या जगतांत । मृत्यु लोकांत दख्खन देशांत ।
महाशूर शिवाजी अवतरला । हिंदुधर्माच्या रक्षणाला जी ||
असुरांनिं सारा मुलुख पिडिला । मानिना कोणी देवाजीला
ऋषींचा होम बंद पडला । न्याय नाही जगामंदि उरला ।
माय वळखिना लेंकराला । लागली चिंता महादेवाला ।
इचार केला बसुनि कैलासाला । दैत्यांचा मोड करायाला ।
अवतार शिवाजीला झाला । गा व्हय म्हन दादा, दादा रजी र दा जी ॥ १॥

गोरगरिबांचा कैवारी । राजा अवतारी ।
असा श्रीहरी । देशाचा पालनवाला ।
धांवुन येणारा संकटाला । जशि काय माय लेकराला ।
तसा तो शिवबा धनि आपुला । वाघ दख्खनचा जागा जाला ।
करावं साह्य त्येला । वैर्‍यांच्या भुलून संपत्तीला ।
लाळ भलत्याचिच घोटायला । लाज कशी नाहीं मुरदाडाला ।
पेटवा आपुल्या जिनगानीला । गा व्हय म्हन दादा ॥२॥

शिवबाची खरी बहाद्दरी । कोकण हेटकरी, घेऊनि बरोबरी ।
दिली त्यांना घोडीं बसायाला । शिलेदार करुनि बरोबरिला ।
झेंडा मराठयांचा फडकविला । राज्याचा पाया तोचि पहिला ।
घ्यावा म्हणू चाकणचा किल्ला । नरसाळा फिरंगोजी तिथला ।
गडकरी शूर लढनेवाला । शिवबानं जागविलं त्येला ।
वळविला तसल्या बहाद्दराला । पेटवा तुमच्या जिनगानीला ।  ॥३॥",पोवाडा,पश्चिम महाराष्ट्र,"हा पोवाडा छत्रपती शिवाजी महाराजांच्या जन्म आणि कार्याविषयी आहे.

त्या काळी दख्खनमध्ये मुघल व आदिलशाहीचे अत्याचार सुरू होते, साधू-संत, शेतकरी, गोरगरीब त्रासले होते.

अशा वेळी धर्मरक्षण आणि स्वराज्य स्थापनेसाठी शिवाजी महाराज अवतरले – हा त्यांचा दैवी अवतार असल्याचा उल्लेख शाहीर करतो.

ते गोरगरीबांचे कैवारी, संकटात धावून जाणारे, आईसारखे प्रजेला जपणारे राजा होते.

कोकणातील हेटकरी आणि शेतकऱ्यांना त्यांनी शिलेदार बनवले, आपली सेना उभी केली.

चाकणचा किल्ला आणि फिरंगोजी नरसाळा यांचा उल्लेख करून शाहीर महाराजांनी आपल्या पराक्रमाने गडकरी, मावळे आणि सरदारांना कसे जागवले ते सांगतो."
महाराजांची कीर्ती बेफाम,"महाराजांची, शिवाजी महाराजांची कीर्ती, बेफाम होती महाराजांची कीर्ती बेफाम, दरबारी पुसती बेगम भल्या भल्यांना फुटला घाम, याला कोण घालिल येसन दरबारी पुसती बेगम, बडी बेगम म्हणजे अली आदिलशहाची आई बर का! नजरेत तिच्या अंगार, दरबार झाला गपगार, कुणी घेईना पुढाकार, साऱ्यांनीच मानली हार, इतक्यात अचानक एक सरदार उठला बोलला हम लायेंगे शिवाजी को, अन त्याने विडा उचलला नाव त्याच अफजलखान ...कट्यारीचा वार त्यान केला …२ गर खरा आवाज झाला चिलाखत व्हत अंगाला खानाचा वार फुका गेला खान यडबडला इतक्यात महाराजानी पोटामधी पिसवा ढकलला वाघनखांचा मारा केला हे टरटरा फाडल पोटाला हे तडा गेला खानाचा कोथळा बाहिर आला जी र जी जी …३ प्रतापगडाचे युद्ध जाहले …३ रक्त सांडले पाप सारे गेले पावन 
",पोवाडा,पश्चिम महाराष्ट्र,"अफझलखानाच्या वधाचा पोवाडा हा शाहिरांनी लिहिलेला पराक्रमी गाथा आहे. यात शिवाजी महाराजांनी प्रतापगडावर अफझलखानाचा वध करून स्वराज्याचं रक्षण केलं, असा प्रसंग वर्णिला आहे. हा पोवाडा म्हणजे महाराष्ट्राच्या शौर्य, धैर्य आणि रणनितीचं प्रतीक आहे."
प्रतापगडाच्या पायथ्याशी खान ,"प्रतापगडाच्या पायथ्याशी खान …(३)
आला बेगुमान नाही त्याला जाण
शिवाजी राजाच्या करामतिची
त्याशी नाही जाणीव शक्तिची
करील काय कल्पना युक्तिची हा जी जी जी …(३)

महाराजानी निरोप घेतला …(२)
न दंडवत घातला भवानीला
तसाच आई जिजाऊला
वकुत ह्यो वंगळ त्यों कसला
पानी आल आईच्या डोळ्याला
न सरदार लागला रडायला
अहो हे हे हे सरदार तर रडतीलच
पण हत्ती घोड़ शिव ना चार्याला
अन गाई बघा लागल्या हम्बराया
असला बेहुद वकुत आला
दुश्मनाच्या गोटामधी चालला मराठ्याचा राजा
अहो राजा हो जी र दाजी र जी जी …(३)
खानाच्या भेटीसाठी …(२)
महाराजानी एक शानदार शामियाना उभारला होता
भेटीसाठी छान उभारीला
नक्षीदार शामियान्याला
अन अशा ह्या शामियान्यात
खान डौलत डुलत आला …(२)
",पोवाडा,पश्चिम महाराष्ट्र,"हा पोवाडा महाराष्ट्रात सर्वात प्रसिद्ध वीरगाथांपैकी एक आहे.

शाहीरांच्या वाणीने गावागावांतून गात-गात या पोवाड्याने लोकांच्या मनात शिवभक्ती, स्वाभिमान आणि स्वराज्याची भावना जागवली."
सिंदखेडराजाला झाला जन्म जिजाई मातेचा,"सिंदखेडराजाला झाला जन्म जिजाई मातेचा । लखूजी जाधव पिता तियेचा सरदार निजामशाहीचा ॥
लखूजी जाधव-कन्या जिजाई मालोजींची ती सून । वीरपत्नीध शहाजी राजाची मोठी होती ती गुणवान ॥

चाल
जिजाबाई आमचं दैवत । मोठं जागृत । स्फूर्ति ती देत । आजही सार्यात महाराष्ट्रास ।
दुसरें दैवत नाहीं आम्हांस । तिच्या नांवाचा मोठा विश्वास ॥

चाल
गुलामगिरीची बेडी तोडून राज्य हिंदवी करण्याला । उत्सुक झाली होती जिजाई, ध्यास लागला जीवाला ॥

चाल
राजमाता जिजा महशूर । दिगंतावर । केला तिनं थोर । महाराष्ट्राचा राजा शिवराय । दुस्मान करी सदा हाय हाय । धन्य ती जिजा आपुली माय ॥

चाल
शिवनेरीला जन्म जाहला शिवाजीचा त्या वेळेला । महाप्रतापी बाळ जन्मला, आनंदाला भर आला ॥
जिजाबाई देई शिक्षण शिवाजी बाळाला ॥
रामायण महाभारत शिकवी ती त्याला ॥
दुष्टांचा नाश करण्याला । रामकृष्ण अवतार झाले शिकवलं त्याला ॥
लहानाचा मोठा बाळ झाला । अन्यायाची चीड ये त्याला ।
देवधर्म साधुसंताचा भक्त तो झाला ॥१॥
जिजाबाई आणि शिवराय गेले पुण्याला ॥
दादोजी कोंडदेव होते गुरुजी त्याला ॥
हिंदवी राज्य करण्याचा संकल्प केला ॥
तवां बोलला बाळ आईला । आई आशीर्वाद दे मला । रोहिडेश ठेवला साक्षीला । आणि हिंदवी राज्य करण्याच्या घेतलं शपथेला ॥
जिजाबाई बोलली त्याला । बाळा ! आशीर्वाद हा तुला । जगदंबा तुझ्या पाठीला । भारी होशिल कळिकाळाला । शिवशंकर यश देणारा । धन्य धन्य माता ती धन्य बाळ तो झाला ॥२॥
शिवाजीचं मन तिनं भारलं थोर पराक्रम करण्याला । राजा शिवाजी तिनं घडविला, राज्य हिंदवी करण्याला ॥
संकटं आली मोठमोठालीं शिवरायावरती जेव्हां । पुढेंच जा तूं, मागें सरुं नको, माता बोलली हो तेव्हां ॥
देवी भवानी प्रसन्न तुजला देईल यश तुज चौफेर । तूं सिंहाचा बच्चा, लांडगे कसे तुला रे धरणार ॥


चाल
चालून आल अफझलखान । केली त्याचा दाणादाण ॥
चालून आला फाजलखान । निसटून गेला वीर महान ॥
चालून आला शास्ताखान । बोटं छाटून केला म्लान ॥
सिंह आग्र्याला सांपडला । तेथूनी पण सुटुनी आला ॥
कैक संकटें प्राणघातकी शिवबावरती जरि आली । तरी न माता डगमगली ॥३॥

चाल
धीर देत ती पुढे चालली । शिवराज्याभिषेक सोहळा तिनं पाहिला । तृप्त झाला मातेचा डोळा ॥

चाल
शहाजी राजे नव्हते परि ते सौख्य सोहळा बघण्याला । मनांत येऊन खिन्न जाहली वीरपत्नीा ती त्या वेळां ॥
पंधरा दिवस ही पुढें न जगली इहयात्रा ती संपविली । जगदंबेचे नांव घेऊनी परलोकीं निघुनी गेली ॥

चाल
पाचाड गांवी अंत तो झाला । रायगडाच्याच पायथ्याला । धन्य शहाजी धन्य जिजाई धन्य शिवाजी जगिं झाले । मायबाप ही धन्य पुत्र हा धन्य असे जगतीं झाले ॥
घरांघरांतून दर्शन होईल जिजामातेचें ते जेव्हां । भरभराट होईल देशाची निश्चित जन हो मग तेव्हां ॥
जिजाई व्हावें जगांत तुम्ही आयाबहिणींनो ही विनति । पांडुरंग शाहीर जाहला कीर्ति गावया सिद्धमति ॥४॥",पोवाडा,पश्चिम महाराष्ट्र,"हा पोवाडा राजमाता जिजाबाई यांच्या जीवनावर आधारित आहे.
त्यात सांगितले आहे —

जिजाबाईंचा जन्म सिंधखेडराजा येथे लखूजीराव जाधव यांच्या घरात झाला.

त्यांचा विवाह शहाजी राजे भोसले यांच्याशी झाला.

त्यांनी शिवाजी महाराजांना संस्कार आणि शौर्याची शिकवण दिली."
चमके शिवबाची तलवार,"पडली भवानी जेव्हा म्यानाच्या बाहेरी
रणात फिरली ना ती कधीच माघारी
चमके शिवबाची तलवार !
तळपत्या बिजलीचा अवतार
झेले ढालीवरती वार
पडली भवानी जेव्हा म्यानाच्या बाहेरी
रणात फिरली ना ती कधीच माघारी
तख्त-दौलतीसमोर केली ना लाचारी
कधी न झुकली ती दिल्लीच्या दरबारी
तमाम बादशाहीचा ताज तिने ठोकरला
मराठमोळ्याचा वेष तिने पांघरला
धर्मरक्षणासी सदा सज्ज भवानी झाली
जुलुमकर्त्याच्या रक्ताने ती न्हाली
महाराष्ट्रा वर प्रेम अपार
उघडण्या स्वातंत्र्याचे द्वार
चमके शिवबाची तलवार !
शाहिस्तेखान म्हणाला दिल्ली दरबारी
""हुजुर करतो मी महाराष्ट्रा वर स्वारी""
पुण्यात शाहिस्ता वस्तीला मग आला
शिवाजी लागे अजमावयास शत्रूला
शाहिस्त्याच्या घरात शिवबा रात्री शिरले
बघुन मर्द शिवा, खान मनी घाबरले
केला शिवबाने गनिमी काव्याने हल्ला
शाहिस्ता बोलतसे, ""या तौबा, या अल्ला !""
केला शाहिस्त्यावर वार
त्याची तुटली बोटे चार
चमके शिवबाची तलवार !
",पोवाडा,"
पश्चिम महाराष्ट्र","पोवाडा परंपरा ही महाराष्ट्रात शिवकालीन काळापासून प्रचलित आहे.

पोवाडा लोकांना प्रेरणा देण्यासाठी गायक/शाहीर रणांगणातील पराक्रम, शौर्यकथा गात.

शाहिस्तेखानावर झालेल्या हल्ल्याची घटना (१६६३, पुणे – लाल महाल) इतिहासात प्रसिद्ध आहे, तीच इथे कवितेत आली आहे."
बाजीप्रभू देशपांडे ,"शिवजींची घेऊनि आज्ञा । सजला बाजी समराला !
झडकरी वंदुनी नृपती । निज चमूस बाहुनि वदला-
“वीर हो! असा निकराचा । येई न समय बहू वेळां,
पातली सुदैवें संधी । जनिं तुह्यां अमर होण्याला !

निज शौर्य शत्रुला दावा,
रग पुरी तयाची जिरवा,
नृपभक्तजनीं या मिरवा,

क्षणभंगुर या देहाचीं । आपणांस परवा कसची!” ।। १ ।।

“ जावोत आपुले प्राण । राहोत सुखी शिवचरण,
हा हेतु मनीं दृढ धरुन । शत्रुची करा धुळधाण,
विजयांती कीर्ति वराल । ना तरी अमरिं सुख पूर्ण ।

अंबिका-नाम गर्जून
शिवचरण मनीं आणून
समशेर चालवा कसुन”

आवेशायुक्त या बोलें । रणमदें वीर फुरफरले ! ।। २ ।।

मा-यांच्या रोखुनि जागा । जागजागिं मोर्च दिधले !
कमटेकरि, बरकंदाज, । एक्कांडे गोफणवाले,
चहुंफेर धूम चालाया । गिरिदरीं वीर बसविलये,

छातीचे निधडे बहुत
झंजार वीर समवेत
धरुनिया दबा खिंडीत

जणु व्याघ्रचि बाजी बसला । सावजांस झडपायाला ! ।। ३ ।।

तांतडिने धावत येतां । त्या स्थलास अरिची सेना
घेउनी उडी लवलाही । मावळे उडविती दैना !
सर्वांच्या पुढती बाजी । ‘ असि’ धरुनि करावि थैमान !

अनिवार बघुनि तो मार
जोहार मानसीं चूर
परि फाजल खवळे फार

देउनी धाक निज चमुला । उद्युक्त करी समराला ! ।। ४ ।।",पोवाडा,"
पश्चिम महाराष्ट्र
","

हा पोवाडा शिवाजी महाराजांचा विश्वासू सरदार बाजीप्रभू देशपांडे यांचा शौर्यगाथा पोवाडा आहे.

त्यात बाजीप्रभूंची निष्ठा, रणभूमीतील शौर्य, प्रजेसाठी बलिदान आणि महाराजांवरील समर्पण यांचा गौरव आहे.

पावनखिंडीचे युद्ध आणि वीरतेची गाथा हा पोवाड्याचा मुख्य विषय आहे."
तानाजी मालुसरेचा पोवाडा,"ऐका ऐका रे सज्जनांनो, गावा गावांत सांगतो |
सिंहगडाच्या रणांगणीचा, पराक्रम मी गातो ||

शिवबांच्या आज्ञेवरुनी, झाला मोहोरचा थाट |
कोंढाणा किल्ला घेण्याचा, ठरला मोठा घाट ||

महाराज म्हणती सरदारांनो, कोण घेईल हे काम |
गड कठीण, शत्रू बलाढ्य, नाही सोपा हा ग्राम ||

तेवढ्यात पुढे सरसावला, मावळ्यांचा सरदार |
तानाजी मालुसरे म्हणे, मी करीन हाच प्रहार ||

लग्नघराचा सोहळा सोडून, आला रणांगणी |
आई भवानीस वंदून गेला, घेऊन तलवारी धनी ||

रात्र अंधारी, मावळे सज्ज, गडावरती चढले |
घोरपडीच्या मदतीने, भिंतीवर पाय रोवले ||

जय भवानी, जय शिवाजी, नारा गुंजला गडावर |
शत्रूवर झडप घातली, मावळ्यांचा तो प्रहार ||

उडती शत्रूंची मस्तके, धरती लाल झाली |
मराठी तलवारीसमोर, शत्रुसेना कापली ||

तानाजी भिडला स्वतः उदेभानाशी रणात |
तलवारीवर तलवार चालली, ठिणग्या पडल्या नभात ||

लढत लढत वीर पडला, देह गेला रणांगणी |
सिंह गेला पण गड राखला, ठेविला शिवरायांचा धनी ||

मावळे ओरडले उरल्या जोरात, जय भवानीचा नारा |
कोंढाणा झाला सिंहगड, फडकला भगवा झेंडा प्यारा ||

महाराज ऐकता बातमी, डोळ्यांत आले पाणी |
“गड आला पण सिंह गेला”, हा उद्गार गाजला धनी ||

वीर तानाजी मालुसरेचा, पराक्रम अमर झाला |
मावळ्यांच्या रक्ताने रे, सिंहगड सुवर्ण झाला ||",पोवाडा,पश्चिम महाराष्ट्र,पावन खिंडीत आपल्या अल्प सैन्यांनिशी बाजी प्रभूंनी विजापूरकरांच्या अफाट सैन्याबरोबर घोर संग्राम दिला आणि स्वामिकार्यात आपला देह धारातीर्थी ठेविला. तो प्रसंग ह्या पोवाड्यात वर्णिला आहे.
शिवाजी महारांजांचा पोवाडा,"हिंदवी राज्य स्थापून । मोठ्या हिंम्मतीनं । शूर शिवाजीनं ।
राज्याभिषेक समारंभ खास । केला यथाविधी रायगड किल्ल्यास ।
ऐका शिवशाहीचा इतिहास ॥
कोण मानीत नाही कोणाला । देवादिकाला । देश धर्माला ।
जुलुम जबरदस्ती अन्याय फार । असा भूमीवर वाढता भार ।
देवाला घ्यावा लागतो अवतार ॥
या न्यायाने शहाजी राजे व जिजाईचे पोटी शीवअवतार झाला.
या शिवाजी बरोबर सह्याद्रीच्या दर्‍याखोर्‍यातील बाजी, तानाजी, येसाजी, सूर्याजी, फिरंगोजी सारखे मर्द
मावळे स्वातंत्र्यासाठी देहाची कुर्बानी करण्यास तयार झाले आणि त्यांनी,
स्वराज्याचं बांधून तोरण प्रथम तोरण्याला ।
गड किल्ले घेऊन स्वराज्याचा झेंडा फडकला ।
पण आर्थिक प्रश्‍न महत्त्वाचा भासू लागला ।
'हिंम्मत मर्दा तो मदद खुदा'
याचवेळी विजापूराहून निघालेला 'कल्याण खजिना', स्वराज्याच्या कल्याणाकरता लुटण्याचा सुयोग
आला आणि या लुटीत,
शिवाजीचे वर्णु गूण किती । न्याय आणि नीती । सदाचार प्रीती ।
कल्याण खजिन्याच्या लुटीत एक महान । तरुणी लाभली रूपाची खाण ।
पण तिच्यापुढे नमुनी मान । मानुनी तिला मातेसमान ।
परस्त्रीचा या केला बहुमान । असा शिवराय चारित्र्यवान ॥
विजापूरचा अफझुलखान । शिवाजीला करण्या हैराण ।
किंवा त्याचा घ्यावया प्राण । पैजेचा विडा उचलून ।
आला प्रतापगडावर जाण । पण त्या अफझुलखानाला शिवाजी राजानं ।
कायमचा बसविला तिथंच कबर बांधून ॥",पोवाडा,"
पश्चिम महाराष्ट्र
","हा पोवाडा छत्रपती शिवाजी महाराजांच्या शौर्य, चारित्र्य आणि स्वराज्य स्थापनेचा गौरव करणारा आहे. यात त्यांच्या स्वराज्याची सुरुवात (तोरणा किल्ला जिंकणे), कल्याण खजिन्याच्या वेळी स्त्रीचा सन्मान करणे, अफझलखान वध आणि रायगडावरचा राज्याभिषेक अशा प्रमुख घटना वर्णिल्या आहेत. हा पोवाडा म्हणजेच शिवरायांचा इतिहास लोककाव्यातून लोकांपर्यंत पोचवणारा काव्यप्रकार आहे.
"
हिरकणी पोवाडा,राजधानी ही स्वराज्याची तिथल्या आईची सांगतो कहाणी तुम्हाला खुद्द शिवबांनी केला सत्कार जी जी जी जी रतिब टाकाया गवळण आली गडाला पायपिटा करी सरसर वर धाक मनाला आज्ञा होती राजांची दार बंद सांजेला हुरहूर झाली मातेची घरी भूक तान्ह्याला पुनवेचा तो चांद कसा डोकावत आला प्रयास परतीचा प्रारंभ झाला कडा पश्र्चिमेचा निर्धार केला सोसाट्याचा वाहे वारा वर वर पाणी तळाला वाट नाही कुणा इसमाची लावी जीव पणाला मायेपोटी धावली अऩ आली घराला मातेच्या धाडसाची कथा समजे राजाला नामकरण झाले कड्याचे नाव त्याला दिले माऊलीचे पुरावे हे इतिहासाचे हिरकणी नाव त्या बुरूजाचे जी जी हिरकणी नाव त्या बुरूजाचे जी जी जी जी,पोवाडा,पश्चिम महाराष्ट्र,"रायगड किल्ल्यावर दिवसभर दुध विकून झाल्यावर संध्याकाळी किल्ल्याचा दरवाजा बंद झाला. पण तिचं लहान मूल घरी एकटं आहे, ही आठवण झाल्यावर हिरकणी आईपणाच्या प्रेमामुळे जीवाची पर्वा न करता रायगडाच्या तुफानी उंच कड्यावरून उतरली.
शिवाजी महाराजांना जेव्हा तिच्या धैर्याची माहिती मिळाली तेव्हा त्यांनी त्या जागेला “हिरकणी बुरुज” असं नाव दिलं."
महात्मा जोतीराव फुलेंचा शिवाजी महाराजांवरील पोवाडा,"कुळवाडी-भूषण पवाडा गातो भोसल्याचा । छत्रपती शिवाजीचा ॥ध्रु०॥
लंगोटयांस देई जानवीं पोषींदा कूणब्याचा । काल तो असे यवनांचा ॥
शिवाजीचा पिता शहाजी पुत्र मालोजीचा । असे तो डौल जहागिरीचा ॥
पंधराशें एकूणपन्नास साल फळलें । जुन्नर तें उदयासी आलें ॥
शिवनेरी किल्ल्यामध्यें बाळ शिवाजी जन्मलें । जिजीबाईस रत्‍न सांपडलें ॥
हातापायांचीं नखं बोटं शुभ्र प्याजी रंगीलें । ज्यांनीं कमळा लाजिवलें ॥
वरखालीं टिर्‍या पोटर्‍या गांठी गोळे बांधले । स्फटिकापरि भासले ॥
सान कटी सिंहापरी छाती मांस दुनावलें । नांव शिवाजी शोभलें ॥
राजहौंसी उंच मान माघें मांदे दोंदीलें । जसा का फणीवर डोले ॥
एकसारखे शुभ्र दंत चमकूं लागले । मोतीं लडीं गुंतविलें ॥
रक्तवर्ण नाजूक होटीं हासूं छपिवले । म्हणोन बोबडें बोले ॥
सरळ नीट नाक विशाळ डोळ्या शोभलें । विषादें मृग वनीं गेले ॥
नेत्र तीखे बाणी भवया कमठे ताणीले । ज्यांनी चंद्रा हाटिवलें ॥
सुंदर विशाळ भाळवटी जावळ लोंबलें । कुरळे केंस मोघीले ॥
आजानबाहू पायांपेक्षां हात लांबलेले । चिन्ह गादिचें दिसलें ॥
जडावाचीं कडीं तोडे सर्व अलंकार केले । धाकटया बाळा लेविवलें ॥
किनखाबी टंकोचें मोतीं घोसानें जडलें । कलाबतुचे गोंडे शोभले ॥
लहान कुंची पैरण बिरडी बंद लावले । डाग लाळीचे पडलेले ॥
हातापायांचे आंगठे चोखी मुखामधी रोळे । पायीं घुंगरुं खुळखुळे ॥
मारी पाठोपाठ लाथाबुक्या आकाश शोभले । खेळण्यावर डोळे फिरवीले ॥
मजवर हा कसा खेळणा नाहीं आवडले । चिन्ह पाळणीं दिसलें ॥
टाहीपेटे रडूं लागला सर्व घाबरले । पाळण्या हलवूं लागले ॥
धन्य जिजाबाई जिनें जो जो जो जो जो केलें । गातों गीत तिनें केलें ॥",पोवाडा,पश्चिम महाराष्ट्र,"हा पोवाडा छत्रपती शिवाजी महाराजांच्या जन्माच्या प्रसंगावर आधारित आहे.
त्यात वर्णन आहे —

त्या काळी यवन (मोगल) सत्तेचा काळ होता.

शहाजी राजे हे मालोजींचे पुत्र होते आणि निजामशाहीत सरदार होते.

पंधराशे एकूणपन्नास साली (इ.स. 1630) जुन्नरजवळील शिवनेरी किल्ल्यावर जिजाबाई यांनी शिवाजी महाराजांना जन्म दिला."
